Strain,GISAID Clade,Age,Clade,Country,Country of exposure,Admin Division,genbank_accession,gisaid_epi_isl,Host,Old Nextstrain clade,Originating Lab,Pangolin lineage,Submission Date,Region,Region of exposure,Sex,Submitting Lab,url,Collection Date,Author,Division of exposure,Location
USA/CA-CZB-1667/2020,G,,20A,USA,USA,California,,EPI_ISL_468609,Human,A2a,Orange County Public Health Lab,B.1.5,3-7 days ago,North America,North America,,Chan-Zuckerberg Biohub,,2020-05-14,CZB Cliahub Consortium et al A,,Orange County CA
USA/CA-CZB-1668/2020,G,,20A,USA,USA,California,,EPI_ISL_468610,Human,A2a,Orange County Public Health Lab,B.1,3-7 days ago,North America,North America,,Chan-Zuckerberg Biohub,,2020-05-14,CZB Cliahub Consortium et al A,,Orange County CA
USA/CA-CZB-1670/2020,G,,20A,USA,USA,California,,EPI_ISL_468612,Human,A2a,Orange County Public Health Lab,B.1.5,3-7 days ago,North America,North America,,Chan-Zuckerberg Biohub,,2020-05-14,CZB Cliahub Consortium et al A,,Orange County CA
USA/CA-CZB-1671/2020,G,,20A,USA,USA,California,,EPI_ISL_468613,Human,A2a,Orange County Public Health Lab,B.1,3-7 days ago,North America,North America,,Chan-Zuckerberg Biohub,,2020-05-14,CZB Cliahub Consortium et al A,,Orange County CA
USA/CA-CZB-1672/2020,G,,20A,USA,USA,California,,EPI_ISL_468614,Human,A2a,Orange County Public Health Lab,B.1.5,3-7 days ago,North America,North America,,Chan-Zuckerberg Biohub,,2020-05-14,CZB Cliahub Consortium et al A,,Orange County CA
USA/CA-CZB-1676/2020,GH,,20A,USA,USA,California,,EPI_ISL_468616,Human,A2a,Contra Costa Public Health Lab,B.1,3-7 days ago,North America,North America,,Chan-Zuckerberg Biohub,,2020-03-30,CZB Cliahub Consortium et al A,,Contra Costa County
USA/CA-CZB-1687/2020,L,,19A,USA,USA,California,,EPI_ISL_468624,Human,,Contra Costa Public Health Lab,B,3-7 days ago,North America,North America,,Chan-Zuckerberg Biohub,,2020-04-02,CZB Cliahub Consortium et al A,,Contra Costa County
USA/CA-CZB-1689/2020,GH,,20C,USA,USA,California,,EPI_ISL_468625,Human,A2a,Contra Costa Public Health Lab,B.1,3-7 days ago,North America,North America,,Chan-Zuckerberg Biohub,,2020-04-02,CZB Cliahub Consortium et al A,,Contra Costa County
USA/CA-CZB-1722/2020,GH,,20C,USA,USA,California,,EPI_ISL_468648,Human,A2a,Contra Costa Public Health Lab,B.1,3-7 days ago,North America,North America,,Chan-Zuckerberg Biohub,,2020-04-03,CZB Cliahub Consortium et al A,,Contra Costa County
USA/CA-CZB-1733/2020,GH,,20C,USA,USA,California,,EPI_ISL_468654,Human,A2a,Contra Costa Public Health Lab,B.1,3-7 days ago,North America,North America,,Chan-Zuckerberg Biohub,,2020-05-13,CZB Cliahub Consortium et al A,,Contra Costa County
USA/CA-CZB0112/2020,S,,19B,USA,USA,California,,EPI_ISL_429065,Human,B1,UCSF Clinical Microbiology Laboratory,A.1,Older,North America,North America,,Chan-Zuckerberg Biohub,,2020-03-28,CZB Cliahub Consortium et al A,,San Francisco
USA/CA-CZB0141/2020,S,,19B,USA,USA,California,,EPI_ISL_429054,Human,B1,UCSF Clinical Microbiology Laboratory,A.1,Older,North America,North America,,Chan-Zuckerberg Biohub,,2020-04-08,CZB Cliahub Consortium et al A,,San Francisco
USA/CA-CZB0145/2020,O,,19A,USA,USA,California,,EPI_ISL_429062,Human,,UCSF Clinical Microbiology Laboratory,B.6,Older,North America,North America,,Chan-Zuckerberg Biohub,,2020-04-08,CZB Cliahub Consortium et al A,,San Francisco
USA/CA-CZB0147/2020,GH,,20C,USA,USA,California,,EPI_ISL_429011,Human,A2a,UCSF Clinical Microbiology Laboratory,B.1,Older,North America,North America,,Chan-Zuckerberg Biohub,,2020-04-08,CZB Cliahub Consortium et al A,,San Francisco
USA/CA-CZB030/2020,GH,,20A,USA,USA,California,,EPI_ISL_429017,Human,A2a,UCSF Clinical Microbiology Laboratory,B.1,Older,North America,North America,,Chan-Zuckerberg Biohub,,2020-03-25,CZB Cliahub Consortium et al A,,San Francisco
USA/CA-CZB06/2020,GH,65,20C,USA,USA,California,,EPI_ISL_417932,Human,A2a,UCSF Clinical Microbiology Laboratory,B.1.p2,Older,North America,North America,Male,Chan-Zuckerberg Biohub,,2020-03-18,Shaun Arevalo et al,,San Francisco
USA/CA-CZB0701/2020,S,,19B,USA,USA,California,,EPI_ISL_429040,Human,B1,UCSF Clinical Microbiology Laboratory,A.1,Older,North America,North America,,Chan-Zuckerberg Biohub,,2020-03-23,CZB Cliahub Consortium et al A,,San Francisco
USA/CA-CZB088/2020,L,,19A,USA,USA,California,,EPI_ISL_430791,Human,,UCSF Clinical Microbiology Laboratory,B,Older,North America,North America,,Chan-Zuckerberg Biohub,,2020-03-28,CZB Cliahub Consortium et al A,,San Francisco
USA/CA-CZB090/2020,S,,19B,USA,USA,California,,EPI_ISL_429049,Human,B1,UCSF Clinical Microbiology Laboratory,A.1,Older,North America,North America,,Chan-Zuckerberg Biohub,,2020-03-28,CZB Cliahub Consortium et al A,,San Francisco
USA/CA-CZB095/2020,L,,19A,USA,USA,California,,EPI_ISL_429006,Human,,UCSF Clinical Microbiology Laboratory,B,Older,North America,North America,,Chan-Zuckerberg Biohub,,2020-03-28,CZB Cliahub Consortium et al A,,San Francisco
USA/CA-QDX-110/2020,GH,63,20C,USA,USA,California,,EPI_ISL_468562,Human,A2a,Quest Diagnostics,B.1,3-7 days ago,North America,North America,Female,Quest Diagnostics,,2020-03-13,Anderson et al,,
USA/CA-QDX-159/2020,GH,40,20C,USA,USA,California,,EPI_ISL_467821,Human,A2a,Quest Diagnostics,B.1,3-7 days ago,North America,North America,Male,Quest Diagnostics,,2020-03-16,Anderson et al,,
USA/CA-QDX-162/2020,GH,63,20C,USA,USA,California,,EPI_ISL_467824,Human,A2a,Quest Diagnostics,B.1,3-7 days ago,North America,North America,Female,Quest Diagnostics,,2020-03-16,Anderson et al,,
USA/CA-QDX-44/2020,GH,27,20C,USA,USA,California,,EPI_ISL_467833,Human,A2a,Quest Diagnostics,B.1,3-7 days ago,North America,North America,Male,Quest Diagnostics,,2020-03-16,Anderson et al,,
USA/CA-QDX-67/2020,GH,49,20C,USA,USA,California,,EPI_ISL_467839,Human,A2a,Quest Diagnostics,B.1,3-7 days ago,North America,North America,Male,Quest Diagnostics,,2020-03-13,Anderson et al,,
USA/CA-QDX-78/2020,S,25,19B,USA,USA,California,,EPI_ISL_467842,Human,B1,Quest Diagnostics,A.1,3-7 days ago,North America,North America,Female,Quest Diagnostics,,2020-03-16,Anderson et al,,
USA/CA-QDX-92/2020,S,30,19B,USA,USA,California,,EPI_ISL_468567,Human,B1,Quest Diagnostics,A.1,3-7 days ago,North America,North America,Male,Quest Diagnostics,,2020-03-13,Anderson et al,,
USA/CA-SCCPHD-UC101/2020,L,,19A,USA,USA,California,,EPI_ISL_435580,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-02-26,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC102/2020,L,,19A,USA,USA,California,,EPI_ISL_435581,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-02-28,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC103/2020,L,,19A,USA,USA,California,,EPI_ISL_435582,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-02-28,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC104/2020,GH,,20A,USA,USA,California,,EPI_ISL_435583,Human,A2a,Santa Clara County Public Health Department,B.1,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-02-29,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC105/2020,O,,19A,USA,USA,California,,EPI_ISL_435584,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-02-29,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC106/2020,L,,19A,USA,USA,California,,EPI_ISL_435585,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-02-29,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC108/2020,L,,19A,USA,USA,California,,EPI_ISL_435587,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-02-29,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC122/2020,L,,19A,USA,USA,California,,EPI_ISL_435601,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-03-05,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC125/2020,O,,19A,USA,USA,California,,EPI_ISL_435604,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-03-06,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC126/2020,O,,19A,USA,USA,California,,EPI_ISL_435605,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-03-06,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC14/2020,L,,19A,USA,USA,California,,EPI_ISL_417318,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-02-29,Xianding Deng et al A (https://dx.doi.org/10.1126/science.abb9263),,Santa Clara County
USA/CA-SCCPHD-UC164/2020,G,,20A,USA,USA,California,,EPI_ISL_435643,Human,A2a,Santa Clara County Public Health Department,B.1,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-03-12,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC165/2020,O,,19A,USA,USA,California,,EPI_ISL_435644,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-03-13,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC170/2020,L,,19A,USA,USA,California,,EPI_ISL_435649,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-03-13,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC171/2020,L,,19A,USA,USA,California,,EPI_ISL_435650,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-03-13,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC172/2020,L,,19A,USA,USA,California,,EPI_ISL_435651,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-03-13,Xianding Deng et al B,,Santa Clara County
USA/CA-SCCPHD-UC174/2020,O,,19A,USA,USA,California,,EPI_ISL_435653,Human,,Santa Clara County Public Health Department,B,Older,North America,North America,,"Chiu Laboratory, University of California, San Francisco",,2020-03-13,Xianding Deng et al B,,Santa Clara County
USA/CA-SR0095/2020,GH,,20C,USA,USA,California,,EPI_ISL_445095,Human,A2a,UC San Diego Center for Advanced Laboratory Medicine,B.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-03-19,SEARCH Alliance San Diego with David Pride et al,,San Diego
USA/CA-SR0111/2020,GH,,20C,USA,USA,California,,EPI_ISL_445105,Human,A2a,UC San Diego Center for Advanced Laboratory Medicine,B.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-03-24,SEARCH Alliance San Diego with David Pride et al,,San Diego
USA/CA-SR0136/2020,GH,,20C,USA,USA,California,,EPI_ISL_445117,Human,A2a,UC San Diego Center for Advanced Laboratory Medicine,B.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-03-14,SEARCH Alliance San Diego with David Pride et al,,San Diego
USA/CA-SR0175/2020,GH,,20C,USA,USA,California,,EPI_ISL_435473,Human,A2a,Rady's Childrens Hospital,B.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-04-28,SEARCH Alliance San Diego et al,,San Diego
USA/CA-SR0178/2020,GH,,20C,USA,USA,California,,EPI_ISL_437599,Human,A2a,Scripps Medical Laboratory,B.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-03-20,SEARCH Alliance San Diego with Michael Quigley et al,,San Diego
USA/CA-SR0182/2020,GH,,20C,USA,USA,California,,EPI_ISL_437595,Human,A2a,Scripps Medical Laboratory,B.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-03-22,SEARCH Alliance San Diego with Michael Quigley et al,,San Diego
USA/CA-SR0190/2020,GR,,20B,USA,USA,California,,EPI_ISL_437590,Human,A2a,Scripps Medical Laboratory,B.1.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-03-30,SEARCH Alliance San Diego with Michael Quigley et al,,San Diego
USA/CA-SR0195/2020,V,,19A,USA,USA,California,,EPI_ISL_437587,Human,A1a,Scripps Medical Laboratory,B.2,Older,North America,North America,,Andersen lab at Scripps Research,,2020-03-28,SEARCH Alliance San Diego with Michael Quigley et al,,San Diego
USA/CA-SR0247/2020,S,,19B,USA,USA,California,,EPI_ISL_437563,Human,B1,Scripps Medical Laboratory,A.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-03-27,SEARCH Alliance San Diego with Michael Quigley et al,,San Diego
USA/CA-SR0263/2020,GH,,20C,USA,USA,California,,EPI_ISL_437549,Human,A2a,Scripps Medical Laboratory,B.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-04-20,SEARCH Alliance San Diego with Michael Quigley et al,,San Diego
USA/CA-SR0311/2020,S,,19B,USA,USA,California,,EPI_ISL_445165,Human,B1,Scripps Medical Laboratory,A.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-03-17,SEARCH Alliance San Diego with Michael Quigley et al,,San Diego
USA/CA-SR0314/2020,GH,,20C,USA,USA,California,,EPI_ISL_445168,Human,A2a,Scripps Medical Laboratory,B.1,Older,North America,North America,,Andersen lab at Scripps Research,,2020-03-26,SEARCH Alliance San Diego with Michael Quigley et al,,San Diego
USA/CA-SR0353/2020,G,,20A,USA,USA,California,,EPI_ISL_458239,Human,A2a,Scripps Medical Laboratory,B.1.5,One month ago,North America,North America,,Andersen lab at Scripps Research,,2020-04-08,SEARCH Alliance San Diego with Michael Quigley et al,,San Diego
USA/CA-SR0416/2020,S,,19B,USA,USA,California,,EPI_ISL_467951,Human,B1,San Diego County Public Health Laboratory,A.1,3-7 days ago,North America,North America,,Andersen lab at Scripps Research,,2020-03-10,SEARCH Alliance San Diego with Tracy Basler et al,,San Diego
USA/CA-SR0449/2020,S,,19B,USA,USA,California,,EPI_ISL_467973,Human,B1,San Diego County Public Health Laboratory,A.1,3-7 days ago,North America,North America,,Andersen lab at Scripps Research,,2020-03-10,SEARCH Alliance San Diego with Tracy Basler et al,,San Diego
USA/CA-SR0455/2020,S,,19B,USA,USA,California,,EPI_ISL_467978,Human,B1,San Diego County Public Health Laboratory,A.1,3-7 days ago,North America,North America,,Andersen lab at Scripps Research,,2020-03-16,SEARCH Alliance San Diego with Tracy Basler et al,,San Diego
USA/CA-SR0459/2020,G,,20A,USA,USA,California,,EPI_ISL_467981,Human,A2a,Rady's Childrens Hospital,B.1.5,3-7 days ago,North America,North America,,Andersen lab at Scripps Research,,2020-05-19,SEARCH Alliance San Diego et al,,San Diego
USA/CA-SR0463/2020,G,,20A,USA,USA,California,,EPI_ISL_467984,Human,A2a,Rady's Childrens Hospital,B.1.5,3-7 days ago,North America,North America,,Andersen lab at Scripps Research,,2020-05-19,SEARCH Alliance San Diego et al,,San Diego
USA/CA-UCSF-UC44/2020,GH,32,20C,USA,USA,California,,EPI_ISL_450236,Human,A2a,UCSF Clinical Microbiology Laboratory,B.1,Older,North America,North America,Female,"Chiu Laboratory, University of California, San Francisco",,2020-03-19,Xianding Deng et al B,,San Francisco County
USA/CA-UCSF-UC47/2020,G,55,20A,USA,USA,California,,EPI_ISL_450239,Human,A2a,UCSF Clinical Microbiology Laboratory,B.1.5,Older,North America,North America,Female,"Chiu Laboratory, University of California, San Francisco",,2020-03-20,Xianding Deng et al B,,San Francisco County
USA/CA1/2020,S,38,19B,USA,Asia,California,MN994467,EPI_ISL_406034,Human,B,California Department of Public Health,A,Older,North America,Asia,Male,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-01-23,Anna Uehara et al A (https://dx.doi.org/10.1101/2020.03.09.20032896),Asia,Los Angeles
USA/CA2/2020,O,54,19A,USA,Asia,California,MN994468,EPI_ISL_406036,Human,,California Department of Public Health,B,Older,North America,Asia,Male,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-01-22,Anna Uehara et al A (https://dx.doi.org/10.1101/2020.03.09.20032896),Asia,Orange County CA
USA/CA3/2020,L,57,19A,USA,USA,California,MT027062,EPI_ISL_408008,Human,,California Department of Health,B,Older,North America,North America,Male,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-01-29,Krista Queen et al B (https://dx.doi.org/10.1101/2020.03.09.20032896),,
USA/CA4/2020,L,57,19A,USA,USA,California,MT027063,EPI_ISL_408009,Human,,California Department of Health,B,Older,North America,North America,Female,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-01-29,Krista Queen et al B (https://dx.doi.org/10.1101/2020.03.09.20032896),,
USA/CA5/2020,L,54,19A,USA,Asia,California,MT027064,EPI_ISL_408010,Human,,California Department of Health,B,Older,North America,Asia,Female,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-01-29,Ying Tao et al A (https://dx.doi.org/10.1101/2020.03.09.20032896),Asia,
USA/CA6/2020,L,44,19A,USA,Asia,California,MT044258,EPI_ISL_410044,Human,,California Department of Public Health,B,Older,North America,Asia,Male,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-01-27,Jing Zhang et al B (https://dx.doi.org/10.1101/2020.03.09.20032896),Asia,
USA/CA7/2020,S,56,19B,USA,Asia,California,MT106052,EPI_ISL_411954,Human,B4,California Department of Public Health,A,Older,North America,Asia,Female,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-02-06,Krista Queen et al A,Asia,
USA/CA8/2020,L,51,19A,USA,USA,California,MT106053,EPI_ISL_411955,Human,,California Department of Public Health,B,Older,North America,North America,Female,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-02-10,Krista Queen et al A,,
USA/CA9/2020,L,46,19A,USA,USA,California,MT118835,EPI_ISL_412862,Human,A7,California Department of Public Health,B,Older,North America,North America,Female,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-02-23,Krista Queen et al A,,Solano County
USA/CO-CDC-5607/2020,L,32,19A,USA,USA,Colorado,,EPI_ISL_452130,Human,,CO Department of Public Health and Environment,B,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-07,Jing Zhang et al A,,
USA/CO-CDC-5610/2020,O,,19B,USA,USA,Colorado,,EPI_ISL_452127,Human,B1,CO Department of Public Health and Environment,A.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-07,Jing Zhang et al A,,
USA/CO-CDC-5667/2020,O,,19B,USA,USA,Colorado,,EPI_ISL_452128,Human,B1,CO Department of Public Health and Environment,A.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-08,Jing Zhang et al A,,
USA/CO-CDC-5780/2020,O,,19B,USA,USA,Colorado,,EPI_ISL_452129,Human,B1,CO Department of Public Health and Environment,A.1,One month ago,North America,North America,,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-09,Jing Zhang et al A,,
USA/CO-QDX-107/2020,GH,75,20C,USA,USA,Colorado,,EPI_ISL_468571,Human,A2a,Quest Diagnostics,B.1,3-7 days ago,North America,North America,,Quest Diagnostics,,2020-03-13,Anderson et al,,
USA/CO-QDX-89/2020,GH,35,20C,USA,USA,Colorado,,EPI_ISL_468572,Human,A2a,Quest Diagnostics,B.1,3-7 days ago,North America,North America,Female,Quest Diagnostics,,2020-03-12,Anderson et al,,
USA/CO-WYPHL-00036/2020,GH,,20C,USA,USA,Colorado,,EPI_ISL_462912,Human,A2a,Wyoming Public Health Laboratory,B.1,One week ago,North America,North America,,"Center for Global Health, University of New Mexico Health Sciences Center",,2020-03-24,Daryl Domman et al,,
USA/CO-WYPHL-00082/2020,G,,20A,USA,USA,Colorado,,EPI_ISL_462913,Human,A2a,Wyoming Public Health Laboratory,B.1,One week ago,North America,North America,,"Center for Global Health, University of New Mexico Health Sciences Center",,2020-03-30,Daryl Domman et al,,
USA/CT_9849/2020,S,63,19B,USA,USA,Connecticut,,EPI_ISL_426416,Human,B1,CT-Dr. Katherine A. Kelley State Public Health Lab,A.1,Older,North America,North America,Male,"Pathogen Discovery, Respiratory Viruses Branch, Division of Viral Diseases, Centers for Disease Control and Prevention",,2020-03-08,Anna Uehara et al B,,
USA/CT-UW-1365/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_424174,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-13,Pavitra Roychoudhury et al A,,
USA/CT-UW-4244/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_427163,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-31,Pavitra Roychoudhury et al A,,
USA/CT-UW-4341/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_427165,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-30,Pavitra Roychoudhury et al A,,
USA/CT-UW-4344/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_426052,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-30,Pavitra Roychoudhury et al A,,
USA/CT-UW-4345/2020,GR,,20B,USA,USA,Connecticut,,EPI_ISL_430945,Human,A2a,UW Virology Lab,B.1.1,Older,North America,North America,,UW Virology Lab,,2020-03-30,Pavitra Roychoudhury et al A,,
USA/CT-UW-4348/2020,G,,20A,USA,USA,Connecticut,,EPI_ISL_430946,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-30,Pavitra Roychoudhury et al A,,
USA/CT-UW-4372/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_426056,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-30,Pavitra Roychoudhury et al A,,
USA/CT-UW-5036/2020,G,,20B,USA,USA,Connecticut,,EPI_ISL_429640,Human,A2a,UW Virology Lab,B.1.1,Older,North America,North America,,UW Virology Lab,,2020-04-07,Pavitra Roychoudhury et al A,,
USA/CT-UW-5038/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_429641,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-04-06,Pavitra Roychoudhury et al A,,
USA/CT-UW-5043/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_429642,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-04-06,Pavitra Roychoudhury et al A,,
USA/CT-UW-5073/2020,GH,,20A,USA,USA,Connecticut,,EPI_ISL_429645,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-04-06,Pavitra Roychoudhury et al A,,
USA/CT-UW-5599/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_430908,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-04-07,Pavitra Roychoudhury et al A,,
USA/CT-UW-5749/2020,G,,20A,USA,USA,Connecticut,,EPI_ISL_430917,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-04-04,Pavitra Roychoudhury et al A,,
USA/CT-UW-5773/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_430927,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-04-04,Pavitra Roychoudhury et al A,,
USA/CT-UW-6259/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_430960,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-04-01,Pavitra Roychoudhury et al A,,
USA/CT-UW-6385/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_430973,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-04-01,Pavitra Roychoudhury et al A,,
USA/CT-UW-6564/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_437865,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-04-02,Pavitra Roychoudhury et al A,,
USA/CT-UW-6574/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_437871,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-04-03,Pavitra Roychoudhury et al A,,
USA/CT-UW-6577/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_461408,Human,A2a,UW Virology Lab,B.1,One month ago,North America,North America,,UW Virology Lab,,2020-04-02,Pavitra Roychoudhury et al A,,
USA/CT-UW-6582/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_461409,Human,A2a,UW Virology Lab,B.1,One month ago,North America,North America,,UW Virology Lab,,2020-04-02,Pavitra Roychoudhury et al A,,
USA/CT-UW-6586/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_461411,Human,A2a,UW Virology Lab,B.1,One month ago,North America,North America,,UW Virology Lab,,2020-04-02,Pavitra Roychoudhury et al A,,
USA/CT-UW-6592/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_461416,Human,A2a,UW Virology Lab,B.1,One month ago,North America,North America,,UW Virology Lab,,2020-04-03,Pavitra Roychoudhury et al A,,
USA/CT-UW158/2020,S,,19B,USA,USA,Connecticut,,EPI_ISL_416696,Human,B4,UW Virology Lab,A,Older,North America,North America,,UW Virology Lab,,2020-03-13,Pavitra Roychoudhury et al A,,
USA/CT-UW213/2020,GR,,20B,USA,USA,Connecticut,,EPI_ISL_417362,Human,A2a,UW Virology Lab,B.1.1,Older,North America,North America,,UW Virology Lab,,2020-03-13,Pavitra Roychoudhury et al A,,
USA/CT-UW224/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_417373,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-13,Pavitra Roychoudhury et al A,,
USA/CT-UW250/2020,G,,20A,USA,USA,Connecticut,,EPI_ISL_418035,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-14,Pavitra Roychoudhury et al A,,
USA/CT-UW254/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_418039,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-13,Pavitra Roychoudhury et al A,,
USA/CT-UW259/2020,GH,,20C,USA,USA,Connecticut,,EPI_ISL_418044,Human,A2a,UW Virology Lab,B.1,Older,North America,North America,,UW Virology Lab,,2020-03-14,Pavitra Roychoudhury et al A,,
